fecha,hora,moneda,compra,venta,compra_apertura,compra_minimo,compra_maximo,venta_apertura,venta_minimo,venta_maximo
2026-06-02,06:00,Dólar,"39,15000","41,55000",39.15000,39.15000,39.15000,41.55000,41.55000,41.55000
2026-06-02,12:00,Dólar,"39,15000","41,35000",39.15000,39.15000,39.15000,41.55000,41.35000,41.55000
2026-06-03,06:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-06-03,11:00,Dólar,"39,20000","41,60000",39.05000,39.05000,39.20000,41.45000,41.45000,41.60000
2026-06-03,12:00,Dólar,"39,25000","41,45000",39.05000,39.05000,39.25000,41.45000,41.45000,41.60000
2026-06-04,06:00,Dólar,"39,15000","41,55000",39.15000,39.15000,39.15000,41.55000,41.55000,41.55000
2026-06-04,10:30,Dólar,"39,05000","41,45000",39.15000,39.05000,39.15000,41.55000,41.45000,41.55000
2026-06-04,12:00,Dólar,"39,15000","41,35000",39.15000,39.05000,39.15000,41.55000,41.35000,41.55000
2026-06-05,06:00,Dólar,"39,05000","41,45000",39.05000,39.05000,39.05000,41.45000,41.45000,41.45000
2026-06-05,10:45,Dólar,"39,25000","41,65000",39.05000,39.05000,39.25000,41.45000,41.45000,41.65000
2026-06-05,12:00,Dólar,"39,40000","41,60000",39.05000,39.05000,39.40000,41.45000,41.45000,41.65000
2026-06-08,10:00,Dólar,"39,15000","41,65000",39.15000,39.15000,39.15000,41.65000,41.65000,41.65000
2026-06-08,12:00,Dólar,"39,40000","41,60000",39.15000,39.15000,39.40000,41.65000,41.60000,41.65000
2026-06-08,16:15,Dólar,"39,30000","41,70000",39.15000,39.15000,39.40000,41.65000,41.60000,41.70000
2026-06-09,09:00,Dólar,"39,30000","41,70000",39.30000,39.30000,39.30000,41.70000,41.70000,41.70000
2026-06-09,12:00,Dólar,"39,35000","41,55000",39.30000,39.30000,39.35000,41.70000,41.55000,41.70000
2026-06-09,14:00,Dólar,"39,45000","41,65000",39.30000,39.30000,39.45000,41.70000,41.55000,41.70000
2026-06-09,16:15,Dólar,"39,35000","41,75000",39.30000,39.30000,39.45000,41.70000,41.55000,41.75000
2026-06-10,09:00,Dólar,"39,35000","41,75000",39.35000,39.35000,39.35000,41.75000,41.75000,41.75000
2026-06-10,10:45,Dólar,"39,45000","41,85000",39.35000,39.35000,39.45000,41.75000,41.75000,41.85000
2026-06-10,11:45,Dólar,"39,55000","41,75000",39.35000,39.35000,39.55000,41.75000,41.75000,41.85000
2026-06-10,15:45,Dólar,"39,45000","41,85000",39.35000,39.35000,39.55000,41.75000,41.75000,41.85000
2026-06-10,16:15,Dólar,"39,40000","41,80000",39.35000,39.35000,39.55000,41.75000,41.75000,41.85000
2026-06-11,09:00,Dólar,"39,40000","41,80000",39.40000,39.40000,39.40000,41.80000,41.80000,41.80000
2026-06-11,12:00,Dólar,"39,50000","41,70000",39.40000,39.40000,39.50000,41.80000,41.70000,41.80000
2026-06-11,15:15,Dólar,"39,40000","41,60000",39.40000,39.40000,39.50000,41.80000,41.60000,41.80000
2026-06-11,16:15,Dólar,"39,25000","41,65000",39.40000,39.25000,39.50000,41.80000,41.60000,41.80000
2026-06-12,09:00,Dólar,"39,25000","41,65000",39.25000,39.25000,39.25000,41.65000,41.65000,41.65000
2026-06-12,11:45,Dólar,"39,30000","41,50000",39.25000,39.25000,39.30000,41.65000,41.50000,41.65000
2026-06-12,14:00,Dólar,"39,25000","41,45000",39.25000,39.25000,39.30000,41.65000,41.45000,41.65000
2026-06-12,16:15,Dólar,"39,05000","41,55000",39.25000,39.05000,39.30000,41.65000,41.45000,41.65000
2026-06-15,09:00,Dólar,"39,05000","41,55000",39.05000,39.05000,39.05000,41.55000,41.55000,41.55000
2026-06-15,12:00,Dólar,"39,20000","41,40000",39.05000,39.05000,39.20000,41.55000,41.40000,41.55000
2026-06-15,16:30,Dólar,"39,10000","41,50000",39.05000,39.05000,39.20000,41.55000,41.40000,41.55000
